year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,tie_break_slots,overlap_random_vs_fscore,overlap_expected,cov_est_days,cov_min_est_days,delisted_in_holding_year,no_price_after_formation,long_short_run,short_leg_max_fscore
2012,69,6,61,25,False,25,10,6.101449275362318,6.0,2,0.36274,0.36231884057971014,756,378,0,0,True,6.0
2013,67,5,60,25,False,25,3,5.507462686567164,6.0,9,0.37444000000000005,0.373134328358209,753,376,0,0,True,5.0
2014,70,3,64,25,False,25,11,6.114285714285714,7.0,14,0.35784,0.35714285714285715,752,376,0,0,True,5.0
2015,72,3,68,25,False,25,7,5.791666666666667,6.0,3,0.34972000000000003,0.3472222222222222,753,376,0,0,True,5.0
2016,67,3,64,25,False,25,10,5.880597014925373,6.0,1,0.37194000000000005,0.373134328358209,756,378,0,0,True,5.0
2017,69,6,65,25,False,25,11,5.782608695652174,6.0,4,0.36446,0.36231884057971014,756,378,1,0,True,5.0
2018,73,6,70,25,False,25,8,5.904109589041096,6.0,2,0.33986,0.3424657534246575,755,377,0,1,True,5.0
2019,73,6,72,25,False,25,19,6.3561643835616435,7.0,6,0.34286,0.3424657534246575,752,376,0,0,True,6.0
2020,74,3,73,25,False,25,9,5.6891891891891895,6.0,5,0.33753999999999995,0.33783783783783783,754,377,0,0,True,5.0
2021,76,1,75,25,False,25,7,5.4868421052631575,6.0,8,0.32886000000000004,0.32894736842105265,755,377,0,0,True,5.0
2022,76,1,75,25,False,25,17,6.592105263157895,7.0,8,0.32683999999999996,0.32894736842105265,756,378,0,0,True,6.0
2023,77,1,76,25,False,25,12,6.0519480519480515,7.0,13,0.32520000000000004,0.3246753246753247,754,377,0,0,True,5.0
2024,78,0,77,25,False,25,17,6.115384615384615,7.0,8,0.32382,0.32051282051282054,752,376,0,0,True,5.0
