year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,overlap_random_vs_fscore,overlap_expected
2003,45,11,0,20,True,45,2,5.222222222222222,6.0,0.44349999999999995,0.4444444444444444
2004,50,11,0,20,True,50,10,6.4,7.0,0.39975,0.4
2005,52,11,0,20,True,52,15,6.5576923076923075,7.0,0.38835000000000003,0.38461538461538464
2006,54,8,0,20,True,54,10,6.111111111111111,6.0,0.37415,0.37037037037037035
2007,48,6,0,20,True,48,10,6.479166666666667,7.0,0.4203,0.4166666666666667
2008,50,4,0,20,True,50,5,6.18,7.0,0.40275,0.4
2009,51,3,34,20,False,20,8,5.921568627450981,6.0,0.38439999999999996,0.39215686274509803
2010,53,3,43,20,False,20,4,5.754716981132075,6.0,0.38170000000000004,0.37735849056603776
2011,65,3,52,20,False,20,18,6.507692307692308,7.0,0.3054,0.3076923076923077
2012,69,3,57,20,False,20,10,6.101449275362318,7.0,0.29505,0.2898550724637681
2013,63,3,54,20,False,20,3,5.492063492063492,6.0,0.31975,0.31746031746031744
2014,63,2,55,20,False,20,11,6.0476190476190474,7.0,0.3201,0.31746031746031744
2015,68,2,61,20,False,20,7,5.794117647058823,7.0,0.28969999999999996,0.29411764705882354
2016,66,2,60,20,False,20,9,5.848484848484849,7.0,0.3033,0.30303030303030304
2017,66,2,59,20,False,20,11,5.757575757575758,6.0,0.30924999999999997,0.30303030303030304
2018,66,5,61,20,False,20,8,5.96969696969697,7.0,0.302,0.30303030303030304
2019,69,4,65,20,False,20,18,6.405797101449275,7.0,0.29165,0.2898550724637681
2020,70,2,66,20,False,20,9,5.671428571428572,6.0,0.28885,0.2857142857142857
2021,71,0,67,20,False,20,5,5.394366197183099,6.0,0.27915,0.28169014084507044
2022,72,0,68,20,False,20,17,6.611111111111111,7.0,0.2786,0.2777777777777778
2023,72,0,68,20,False,20,12,6.055555555555555,7.0,0.2763,0.2777777777777778
2024,75,0,71,20,False,20,15,6.066666666666666,7.0,0.2681,0.26666666666666666
2025,75,0,71,20,False,20,16,6.12,7.0,0.2683,0.26666666666666666
